2023-11-08 12:07:57.992+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:00.419+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:08:00.419+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:08:07.226+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:07.265+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:07.836+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:08.159+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `press_key` of `RDPDeviceV3`
2023-11-08 12:08:09.108+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:09.727+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:11.432+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:08:11.433+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:08:11.491+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:08:11.491+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:08:11.542+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:08:11.543+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:08:11.644+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `hot_key` of `RDPDeviceV3`
2023-11-08 12:08:12.444+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:14.945+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:08:14.946+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:08:15.513+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:15.559+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:16.184+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:16.526+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `press_key` of `RDPDeviceV3`
2023-11-08 12:08:17.272+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:18.911+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:19.744+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `update_working_area` of `WorkingAreaService`
2023-11-08 12:08:19.744+01:00 |      rdp-1 | MainThread | line 178 |   DEBUG |              aiviro.core.runner.WorkingAreaService | Working area has been set to None
2023-11-08 12:08:19.903+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `hot_key` of `RDPDeviceV3`
2023-11-08 12:08:20.445+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `clear_element` of `RDPDeviceV3`
2023-11-08 12:08:20.445+01:00 |      rdp-1 | MainThread | line 145 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | clear-element on <BoundBox INPUT [117, 41],[1758, 82]/>, pos=[937, 61]
2023-11-08 12:08:20.595+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `type_text` of `RDPDeviceV3`
2023-11-08 12:08:20.596+01:00 |      rdp-1 | MainThread | line 158 |   DEBUG |                     aiviro.core.device.RDPDeviceV3 | type-text on None
2023-11-08 12:08:21.248+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:21.287+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:21.937+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:22.121+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `press_key` of `RDPDeviceV3`
2023-11-08 12:08:22.122+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `force_wait_n_screens` of `ImageCollector`
2023-11-08 12:08:22.163+01:00 |      rdp-1 | MainThread | line  80 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Forced wait for screens, 1 remaining
2023-11-08 12:08:25.235+01:00 |      rdp-1 | MainThread | line  57 |   DEBUG |          aiviro.core.runner_service.ImageCollector | Detected stable screen transition -- image in debug folder
2023-11-08 12:08:27.237+01:00 |      rdp-1 | MainThread | line 138 |   DEBUG |                 aiviro.core.services.RunnerProcess | Calling command `click` of `RDPDeviceV3`
